timestamp,ctr,ax_g,ay_g,az_g
2026-02-17T20:05:54.104,26668,0.249,-0.781,0.613
2026-02-17T20:05:54.106,26669,1.121,-0.169,-0.082
2026-02-17T20:05:54.165,26671,0.988,0.023,0.111
2026-02-17T20:05:54.165,26672,-0.112,-0.567,0.947
2026-02-17T20:05:54.165,26673,-0.307,-0.806,1.025
2026-02-17T20:05:54.225,26675,-0.297,-1.204,1.137
2026-02-17T20:05:54.225,26676,0.223,-1.321,1.222
2026-02-17T20:05:54.225,26677,0.309,-1.343,1.130
2026-02-17T20:05:54.285,26679,0.164,-1.084,0.769
2026-02-17T20:05:54.285,26680,-0.056,-0.660,0.686
2026-02-17T20:05:54.286,26681,-0.063,-0.492,0.612
2026-02-17T20:05:54.346,26683,0.085,-0.338,0.656
2026-02-17T20:05:54.346,26684,0.251,0.248,0.845
2026-02-17T20:05:54.347,26685,0.218,0.449,0.866
2026-02-17T20:05:54.405,26687,0.182,0.669,0.986
2026-02-17T20:05:54.405,26688,0.070,0.894,1.009
2026-02-17T20:05:54.405,26689,-0.094,0.953,0.957
2026-02-17T20:05:54.465,26691,-0.159,0.991,1.095
2026-02-17T20:05:54.465,26692,0.101,1.437,1.505
2026-02-17T20:05:54.466,26693,0.139,1.526,1.515
2026-02-17T20:05:54.525,26695,0.207,1.499,1.255
2026-02-17T20:05:54.526,26696,0.233,1.372,1.039
2026-02-17T20:05:54.526,26697,0.169,1.258,0.996
2026-02-17T20:05:54.584,26699,0.025,1.063,1.092
2026-02-17T20:05:54.585,26700,-0.160,0.889,1.016
2026-02-17T20:05:54.585,26701,-0.220,0.835,0.894
2026-02-17T20:05:54.645,26703,-0.265,0.744,0.783
2026-02-17T20:05:54.646,26704,0.050,0.602,0.931
2026-02-17T20:05:54.646,26705,0.192,0.443,0.901
2026-02-17T20:05:54.705,26707,0.438,-0.108,0.606
2026-02-17T20:05:54.713,26708,0.891,-1.141,0.315
2026-02-17T20:05:54.713,26709,1.063,-1.514,0.392
2026-02-17T20:05:54.764,26711,0.983,-1.921,0.758
2026-02-17T20:05:54.765,26712,0.456,-1.717,1.172
2026-02-17T20:05:54.765,26713,-0.497,-1.887,1.666
2026-02-17T20:05:54.884,26715,-2.960,-2.196,3.114
2026-02-17T20:05:54.886,26716,-1.405,-1.210,2.446
2026-02-17T20:05:54.886,26717,-0.183,-1.012,1.754
2026-02-17T20:05:54.945,26719,0.744,-0.455,0.303
2026-02-17T20:05:54.946,26721,-0.127,-0.632,0.847
2026-02-17T20:05:54.946,26722,0.080,-0.670,1.016
2026-02-17T20:05:54.946,26723,0.197,-0.569,1.133
2026-02-17T20:05:55.004,26725,0.257,-0.321,1.111
2026-02-17T20:05:55.006,26726,-0.068,-0.411,0.915
2026-02-17T20:05:55.006,26727,-0.168,-0.387,0.865
2026-02-17T20:05:55.064,26729,-0.194,-0.279,0.775
2026-02-17T20:05:55.065,26730,0.001,-0.148,0.657
2026-02-17T20:05:55.065,26731,0.060,-0.106,0.680
2026-02-17T20:05:55.125,26733,-0.037,0.132,0.902
2026-02-17T20:05:55.125,26734,-0.145,0.331,1.110
2026-02-17T20:05:55.126,26735,-0.185,0.455,1.136
2026-02-17T20:05:55.185,26737,-0.026,0.496,1.163
2026-02-17T20:05:55.185,26738,0.379,0.809,1.181
2026-02-17T20:05:55.186,26739,0.487,0.974,1.117
2026-02-17T20:05:55.245,26741,0.316,1.071,0.988
2026-02-17T20:05:55.246,26742,0.204,1.209,1.165
2026-02-17T20:05:55.246,26743,0.181,1.277,1.273
2026-02-17T20:05:55.305,26745,0.133,1.389,1.236
2026-02-17T20:05:55.305,26746,0.144,1.184,0.855
2026-02-17T20:05:55.306,26747,0.150,1.082,0.719
2026-02-17T20:05:55.365,26749,0.097,0.891,0.620
2026-02-17T20:05:55.366,26750,0.029,0.815,0.717
2026-02-17T20:05:55.425,26751,0.025,0.768,0.876
2026-02-17T20:05:55.426,26753,-0.122,0.650,1.143
2026-02-17T20:05:55.426,26754,-0.043,0.468,0.960
2026-02-17T20:05:55.426,26755,0.011,0.328,0.796
2026-02-17T20:05:55.485,26757,0.171,-0.012,0.572
2026-02-17T20:05:55.485,26758,0.227,-0.177,0.686
2026-02-17T20:05:55.485,26759,0.284,-0.369,0.673
